bench-name,core-freq,memory-freq,problem-size,local-size,num-iters,throughput-metric,kernel-time-mean,kernel-time-stddev,kerne-time-min,kernel-time-throughput,run-time-mean,run-time-stddev,run-time-min,run-time-throughput,kernel-energy-mean,kernel-energy-stddev,kernel-energy-max,kernel-energy-min
MicroBench_LocalMem_fp64_4096,,,2097152,256,,128.000000,N/A,N/A,,N/A,0.010971,0.000051,0.010931,11709.583663,,,,
MicroBench_LocalMem_int32_4096,,,32768,256,,1.000000,N/A,N/A,,N/A,0.000133,0.000008,0.000127,7843.875502,,,,
MicroBench_LocalMem_fp32_4096,,,32768,256,,1.000000,N/A,N/A,,N/A,0.000131,0.000005,0.000127,7867.511113,,,,
MicroBench_LocalMem_fp64_4096,,,32768,256,,2.000000,N/A,N/A,,N/A,0.000276,0.000054,0.000234,8540.438979,,,,
MicroBench_LocalMem_int32_4096,,,1048576,256,,32.000000,N/A,N/A,,N/A,0.002826,0.000050,0.002788,11478.231176,,,,
MicroBench_LocalMem_fp32_4096,,,1048576,256,,32.000000,N/A,N/A,,N/A,0.002822,0.000021,0.002808,11395.784130,,,,
MicroBench_LocalMem_fp64_4096,,,1048576,256,,64.000000,N/A,N/A,,N/A,0.005821,0.000124,0.005684,11259.818914,,,,
MicroBench_LocalMem_int32_4096,,,4096,256,,0.000000,N/A,N/A,,N/A,0.000110,0.000008,0.000106,N/A,,,,
MicroBench_LocalMem_fp32_4096,,,4096,256,,0.000000,N/A,N/A,,N/A,0.000111,0.000008,0.000105,N/A,,,,
MicroBench_LocalMem_fp64_4096,,,4096,256,,0.000000,N/A,N/A,,N/A,0.000169,0.000047,0.000132,N/A,,,,
MicroBench_LocalMem_int32_4096,,,524288,256,,16.000000,N/A,N/A,,N/A,0.001421,0.000025,0.001395,11472.247915,,,,
MicroBench_LocalMem_fp32_4096,,,524288,256,,16.000000,N/A,N/A,,N/A,0.001471,0.000113,0.001391,11502.003505,,,,
MicroBench_LocalMem_fp64_4096,,,524288,256,,32.000000,N/A,N/A,,N/A,0.002862,0.000064,0.002766,11569.567266,,,,
MicroBench_LocalMem_int32_4096,,,524288,256,,16.000000,N/A,N/A,,N/A,0.001432,0.000032,0.001398,11447.861074,,,,
MicroBench_LocalMem_fp32_4096,,,524288,256,,16.000000,N/A,N/A,,N/A,0.001488,0.000103,0.001409,11353.492405,,,,
